model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.1.8__traditioner_af_swenska_folk_dansar.1.8.wav,28.802902,2,1,0.88,0.830189,0.854369,0.956875,0.995,0.938679,0.966019,0.906758,1.0,0.943396,0.970874,0.925,0.872642,0.898058,115.033776
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.2.15__traditioner_af_swenska_folk_dansar.2.15.wav,36.00254,2,1,0.933702,0.918478,0.926027,0.953034,0.98895,0.972826,0.980822,0.928237,0.98895,0.972826,0.980822,0.933702,0.918478,0.926027,99.319421
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.2.27__traditioner_af_swenska_folk_dansar.2.27.wav,21.603265,2,1,0.929577,0.916667,0.923077,0.97096,0.99061,0.976852,0.983683,0.938972,0.995305,0.981481,0.988345,0.938967,0.925926,0.932401,109.029532
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.2.31__traditioner_af_swenska_folk_dansar.2.31.wav,28.802902,2,2,0.85034,0.865052,0.857633,0.969052,0.938776,0.955017,0.946827,0.924138,0.942177,0.958478,0.950257,0.897959,0.913495,0.90566,105.446995
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.2.36__traditioner_af_swenska_folk_dansar.2.36.wav,28.802902,2,1,0.950893,0.938326,0.944568,0.955296,1.0,0.986784,0.993348,0.934047,1.0,0.986784,0.993348,0.959821,0.947137,0.953437,107.252046
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.3.11__traditioner_af_swenska_folk_dansar.3.11.wav,28.802902,2,1,0.940594,0.917874,0.929095,0.968732,1.0,0.975845,0.987775,0.943224,1.0,0.975845,0.987775,0.940594,0.917874,0.929095,108.175777
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.3.12__traditioner_af_swenska_folk_dansar.3.12.wav,32.403447,2,1,0.955696,0.92638,0.94081,0.96609,1.0,0.969325,0.984424,0.946347,1.0,0.969325,0.984424,0.955696,0.92638,0.94081,106.847386
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.3.13__traditioner_af_swenska_folk_dansar.3.13.wav,13.094603,2,1,0.936508,0.907692,0.921875,0.959274,1.0,0.969231,0.984375,0.918791,1.0,0.969231,0.984375,0.936508,0.907692,0.921875,98.628419
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.3.14__traditioner_af_swenska_folk_dansar.3.14.wav,36.003991,2,1,0.967033,0.942857,0.954792,0.956348,1.0,0.975,0.987342,0.938835,1.0,0.975,0.987342,0.981685,0.957143,0.969259,104.951018
MT3,MSMD,Traditional__traditioner_af_swenska_folk_dansar.3.15__traditioner_af_swenska_folk_dansar.3.15.wav,12.548934,2,1,0.852941,0.763158,0.805556,0.957657,0.985294,0.881579,0.930556,0.890305,0.985294,0.881579,0.930556,0.897059,0.802632,0.847222,105.59812
