model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_19_R1_2015_wav--2.wav,363.658345,1,1,0.032062,0.214679,0.055791,0.39911,0.05656,0.378716,0.098422,0.293897,0.125617,0.841101,0.218588,0.111038,0.743486,0.193219,1856.279016
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--2.wav,669.706259,1,1,0.030661,0.082359,0.044686,0.370624,0.048014,0.12897,0.069977,0.242552,0.20905,0.561529,0.304674,0.186067,0.499794,0.271178,3165.957128
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_12_R1_2015_wav--5.wav,263.765624,1,1,0.001107,0.002494,0.001534,0.27669,0.004208,0.009476,0.005828,0.078012,0.131547,0.296259,0.182195,0.13354,0.300748,0.184955,1399.646751
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_14_R1_2015_wav--3.wav,553.778141,1,1,0.005614,0.018703,0.008636,0.453307,0.017814,0.059352,0.027404,0.240857,0.130314,0.434165,0.200461,0.121332,0.404239,0.186644,2798.390046
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--2.wav,486.090612,1,1,0.04213,0.085261,0.056394,0.451764,0.058938,0.119274,0.078892,0.353471,0.275939,0.558428,0.369363,0.249272,0.50446,0.333667,2561.267004
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--3.wav,369.293764,1,1,0.010797,0.021469,0.014368,0.428936,0.035459,0.070508,0.047187,0.170677,0.232413,0.462147,0.309286,0.201955,0.401582,0.268754,1874.015261
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.wav,486.494785,1,1,0.008516,0.017962,0.011554,0.392249,0.025547,0.053885,0.034661,0.223684,0.166452,0.351086,0.225835,0.14546,0.306809,0.197353,2419.467534
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--1.wav,212.63542,1,1,0.007598,0.036131,0.012556,0.437996,0.035885,0.17065,0.059301,0.24758,0.153945,0.732073,0.254394,0.129982,0.618121,0.214796,1172.266859
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.wav,740.025011,1,1,0.004217,0.006287,0.005048,0.31467,0.006895,0.01028,0.008254,0.140088,0.250456,0.373375,0.299806,0.247379,0.368788,0.296122,3698.493964
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--4.wav,785.08542,1,1,0.029965,0.058364,0.039599,0.370815,0.046539,0.090647,0.061502,0.247604,0.227636,0.443378,0.300824,0.20116,0.39181,0.265837,3712.058326
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_22_R2_2015_wav--4.wav,819.508345,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3896.673188
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_11_R2_2015_wav--4.wav,827.64585,1,1,0.002302,0.005773,0.003291,0.332257,0.005835,0.014635,0.008344,0.078273,0.162687,0.408029,0.232624,0.155942,0.391112,0.222979,3897.141501
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--2.wav,650.673946,1,1,0.031385,0.088077,0.046279,0.412858,0.0499,0.140038,0.07358,0.301262,0.186968,0.524705,0.275697,0.166539,0.467374,0.245573,3156.251607
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_01_R1_2015_wav--3.wav,229.684376,1,1,0.004691,0.010673,0.006518,0.449308,0.008771,0.019954,0.012186,0.222876,0.206221,0.469142,0.286504,0.201836,0.459165,0.280411,1169.329079
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--1.wav,355.420839,1,1,0.011215,0.02413,0.015313,0.44934,0.030087,0.064733,0.041081,0.199654,0.229807,0.494432,0.313775,0.204465,0.439907,0.279172,1786.308344
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--6.wav,137.219796,1,1,0.049399,0.03484,0.040861,0.421088,0.084112,0.059322,0.069575,0.282778,0.37984,0.267891,0.314191,0.337116,0.237759,0.278851,780.731242
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--3.wav,394.055215,1,1,0.021159,0.064584,0.031875,0.432361,0.039022,0.119111,0.058785,0.304796,0.189646,0.578878,0.285696,0.166407,0.507941,0.250686,1945.825246
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.wav,218.888549,1,1,0.001914,0.006913,0.002998,0.368406,0.007081,0.025579,0.011091,0.120093,0.131375,0.474594,0.205785,0.131949,0.476668,0.206685,1158.713493
