midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,pychord_error,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
Track01040.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01040/Track01040.mid,34.73672437667847,2025-08-20 17:37:25.898887,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.5128205,34.675832748413086,7.0,2.5128205,-1.0,2.5128205,2.5128205
Track00090.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00090/Track00090.mid,23.915156841278076,2025-08-20 17:37:31.490082,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.86174244,23.874735832214355,7.0,0.86174244,-1.0,0.86174244,0.86174244
Track01229.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01229/Track01229.mid,34.234273195266724,2025-08-20 17:37:37.117684,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.998088,34.198954820632935,7.0,2.998088,-1.0,2.998088,2.998088
Track01355.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01355/Track01355.mid,19.62518334388733,2025-08-20 17:37:42.752390,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.1025236,19.58820939064026,7.0,3.1025236,-1.0,3.1025236,3.1025236
Track00344.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00344/Track00344.mid,40.150092363357544,2025-08-20 17:37:46.904961,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.740061,40.10214352607727,7.0,2.740061,-1.0,2.740061,2.740061
Track00568.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00568/Track00568.mid,17.563038110733032,2025-08-20 17:37:49.053553,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.7575758,17.524988651275635,7.0,2.7575758,-1.0,2.7575758,2.7575758
Track00630.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00630/Track00630.mid,51.12946176528931,2025-08-20 17:37:53.272884,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.0242717,51.04130578041077,7.0,3.0242717,-1.0,3.0242717,3.0242717
Track00288.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00288/Track00288.mid,32.02373433113098,2025-08-20 17:37:57.922971,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.2760737,31.962437868118286,7.0,2.2760737,-1.0,2.2760737,2.2760737
Track00787.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00787/Track00787.mid,48.21679639816284,2025-08-20 17:37:59.284433,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.5951219,48.177982568740845,7.0,2.5951219,-1.0,2.5951219,2.5951219
Track00902.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00902/Track00902.mid,58.659865856170654,2025-08-20 17:38:00.366719,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,3.0192308,58.562222957611084,7.0,3.0192308,-1.0,3.0192308,3.0192308
Track01458.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01458/Track01458.mid,32.28426718711853,2025-08-20 17:38:09.402521,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.5909662,32.245203495025635,7.0,2.5909662,-1.0,2.5909662,2.5909662
Track00871.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00871/Track00871.mid,11.819227695465088,2025-08-20 17:38:12.186378,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.25454545,11.784770727157593,7.0,0.25454545,-1.0,0.25454545,0.25454545
Track00968.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00968/Track00968.mid,25.533531665802002,2025-08-20 17:38:12.438793,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.9935484,25.49052882194519,7.0,0.9935484,-1.0,0.9935484,0.9935484
Track01461.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01461/Track01461.mid,31.245516538619995,2025-08-20 17:38:13.998186,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.8115016,31.212018728256226,7.0,1.8115016,-1.0,1.8115016,1.8115016
Track01134.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01134/Track01134.mid,26.431971549987793,2025-08-20 17:38:19.705380,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.5246423,26.38552737236023,7.0,1.5246423,-1.0,1.5246423,1.5246423
Track01315.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01315/Track01315.mid,10.392970561981201,2025-08-20 17:38:24.391439,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.0,10.359921216964722,,0.0,,0.0,0.0
Track01471.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01471/Track01471.mid,25.291868925094604,2025-08-20 17:38:24.576676,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.546875,25.258660078048706,7.0,0.546875,-1.0,0.546875,0.546875
Track00220.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00220/Track00220.mid,40.86718773841858,2025-08-20 17:38:29.921189,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.0487455,40.82895827293396,7.0,1.0487455,-1.0,1.0487455,1.0487455
Track00389.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00389/Track00389.mid,32.85829138755798,2025-08-20 17:38:30.781611,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.3811129,32.819281578063965,7.0,1.3811129,-1.0,1.3811129,1.3811129
Track01037.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01037/Track01037.mid,21.921504974365234,2025-08-20 17:38:31.326873,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.3593131,21.881227254867554,7.0,1.3593131,-1.0,1.3593131,1.3593131
Track00482.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00482/Track00482.mid,32.196194648742676,2025-08-20 17:38:44.382915,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.1835052,32.11203908920288,7.0,1.1835052,-1.0,1.1835052,1.1835052
Track01112.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01112/Track01112.mid,19.894093990325928,2025-08-20 17:38:51.221374,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.05,19.810545921325684,7.0,1.05,-1.0,1.05,1.05
Track00076.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00076/Track00076.mid,27.311567783355713,2025-08-20 17:38:51.703295,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.7096775,27.25244402885437,7.0,2.7096775,-1.0,2.7096775,2.7096775
Track00444.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00444/Track00444.mid,32.414058446884155,2025-08-20 17:38:56.992448,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.39130434,32.3679575920105,7.0,0.39130434,-1.0,0.39130434,0.39130434
Track00807.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00807/Track00807.mid,42.69506645202637,2025-08-20 17:39:02.400883,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.53435117,42.65708351135254,7.0,0.53435117,-1.0,0.53435117,0.53435117
Track00176.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00176/Track00176.mid,18.91537833213806,2025-08-20 17:39:03.298750,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.5874126,18.874823331832886,7.0,0.5874126,-1.0,0.5874126,0.5874126
Track00930.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00930/Track00930.mid,34.28326177597046,2025-08-20 17:39:04.204776,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,0.32048193,34.18251419067383,7.0,0.32048193,-1.0,0.32048193,0.32048193
